folderidx,float,profileidx,year,month,day,lat,lon,nlat,nlon,ts1,ts2,ts3,ts4,ts5,ts6,ts7,ts8,ssh_slope,ssh_dir,bath_slope,bath_dir,roughness
0.000000000000000000e+00,1.901932000000000000e+06,0.000000000000000000e+00,2.021000000000000000e+03,5.000000000000000000e+00,2.000000000000000000e+01,-3.978999999999999915e+01,3.006350000000000122e+01,-3.681700000000000017e+01,3.094190000000000040e+01,-8.429544061472590499e+00,-2.753713798470084573e+00,-2.788563684876263604e+00,-1.469766337799493838e+00,-7.509922508164716959e-01,-6.626557580312243401e-01,-4.751574492535143301e-02,-2.372532320429547592e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,1.000000000000000000e+00,2.021000000000000000e+03,5.000000000000000000e+00,3.000000000000000000e+01,-3.681700000000000017e+01,3.094190000000000040e+01,-3.845100000000000051e+01,3.275650000000000261e+01,-1.622498106552484387e+01,-2.328750346589685716e+00,-2.156175919918708495e+00,-4.411510082364557661e+00,4.223850810145320378e-01,-6.847643029894154298e-02,-9.061692326452608359e-01,-7.235560301676799422e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,2.000000000000000000e+00,2.021000000000000000e+03,6.000000000000000000e+00,9.000000000000000000e+00,-3.845100000000000051e+01,3.275650000000000261e+01,-4.003020000000000067e+01,3.596520000000000294e+01,-4.645711451240527090e+00,-3.005417846884816058e+00,-1.453715490579392533e+00,-6.681772442894254871e-01,-7.879484288291975780e-01,-4.721648221324326600e-01,4.862514693834695673e-02,5.005841615826944757e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,3.000000000000000000e+00,2.021000000000000000e+03,6.000000000000000000e+00,1.900000000000000000e+01,-4.003020000000000067e+01,3.596520000000000294e+01,-3.929690000000000083e+01,3.869279999999999831e+01,-7.028407607098952070e+00,-3.373395838400707891e+00,-2.194893165013559688e+00,-1.104086079021366684e+00,-8.246061265969636400e-01,-2.629843759244256396e-01,2.917293730486323899e-01,-2.801322368749893377e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,4.000000000000000000e+00,2.021000000000000000e+03,6.000000000000000000e+00,2.900000000000000000e+01,-3.929690000000000083e+01,3.869279999999999831e+01,-3.802270000000000039e+01,4.090310000000000201e+01,-3.312371260338885293e+00,-3.200433565900361099e+00,-1.266697766873177367e+00,-7.648135516776695120e-01,-6.718335356025225691e-01,-2.524869319514714272e-01,1.135799603246176598e-01,4.344912934887014411e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,5.000000000000000000e+00,2.021000000000000000e+03,7.000000000000000000e+00,8.000000000000000000e+00,-3.802270000000000039e+01,4.090310000000000201e+01,-4.040520000000000067e+01,4.318390000000000128e+01,-6.705677153287343373e+00,-3.362632244011575455e+00,-2.880280449518578312e+00,-9.328925808063687208e-01,-7.542047298266278954e-01,-1.011044725751394646e-01,2.291830143418653876e-01,-1.171523102202812194e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,6.000000000000000000e+00,2.021000000000000000e+03,7.000000000000000000e+00,1.800000000000000000e+01,-4.040520000000000067e+01,4.318390000000000128e+01,-3.889289999999999736e+01,4.670360000000000156e+01,-8.890329306393814690e+00,-2.915017043314644063e+00,-2.808460917829727954e+00,-1.480257734984586016e+00,-6.574343179099317869e-01,-5.044755493085693182e-02,7.289659468033411749e-02,-3.539534289344525297e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,7.000000000000000000e+00,2.021000000000000000e+03,7.000000000000000000e+00,2.800000000000000000e+01,-3.889289999999999736e+01,4.670360000000000156e+01,-3.981700000000000017e+01,4.752559999999999718e+01,-1.311205377260713867e+01,-2.645820544855969292e+00,-2.491361331085404807e+00,-3.475120730636669375e+00,-3.610659946420784472e-01,-7.930735014065868338e-01,-1.178816893213065486e-01,-5.821770502701583139e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,1.100000000000000000e+01,2.021000000000000000e+03,9.000000000000000000e+00,6.000000000000000000e+00,-4.166420000000000101e+01,4.765829999999999700e+01,-4.031369999999999720e+01,5.001449999999999818e+01,-6.311149477383489526e+00,-3.396291434003952503e+00,-1.429080715701410709e+00,-1.983538241085758935e+00,-4.266056841519433318e-01,-1.104026619690648303e+00,1.000219026582258586e-01,-6.757022593316306391e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,1.200000000000000000e+01,2.021000000000000000e+03,9.000000000000000000e+00,1.600000000000000000e+01,-4.031369999999999720e+01,5.001449999999999818e+01,-3.964730000000000132e+01,4.914690000000000225e+01,-7.156809124987558057e+00,-3.182375019273878003e+00,-2.462285119556359092e+00,-1.650599831887974656e+00,-6.764139998671043763e-01,-4.571409384596723524e-01,1.598112802212549033e-01,-3.300393667415013055e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,1.300000000000000000e+01,2.021000000000000000e+03,9.000000000000000000e+00,2.500000000000000000e+01,-3.964730000000000132e+01,4.914690000000000225e+01,-3.996640000000000015e+01,4.829659999999999798e+01,-7.225832400564136115e+00,-3.528922729769133237e+00,-1.742247844195126794e+00,-1.900002960615813752e+00,-4.251478696688313352e-01,-2.798392844283314473e-01,4.792833795778030093e-03,-4.033204291367545880e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
